      JAN   FEB   MAR   APR   MAY   JUN   JUL   AUG   SEP   OCT   NOV   DEC
1950 -0.21 -0.32 -0.36 -0.28 -0.27 -0.24 -0.22 -0.13 -0.12 -0.14 -0.08 -0.04
1951  0.15  0.23  0.12 -0.01 -0.17 -0.08 -0.07  0.14  0.23  0.31  0.24  0.26
1952  0.32  0.30  0.34  0.21  0.13 -0.02 -0.08 -0.10 -0.19 -0.16 -0.09  0.09
1953  0.16  0.19  0.12  0.21  0.18  0.20  0.08  0.12  0.15  0.17  0.12 -0.06
1954 -0.16 -0.30 -0.07 -0.02  0.01 -0.20 -0.28 -0.33 -0.39 -0.36 -0.25 -0.15
1955 -0.18 -0.22 -0.15 -0.29 -0.40 -0.49 -0.30 -0.30 -0.40 -0.47 -0.32 -0.10
1956  0.02 -0.05 -0.17 -0.41 -0.48 -0.56 -0.40 -0.29 -0.20 -0.24 -0.19 -0.17
1957 -0.15 -0.19 -0.18 -0.12 -0.16 -0.23 -0.29 -0.17  0.02 -0.04 -0.13 -0.21
1958 -0.11 -0.11 -0.15 -0.17 -0.20 -0.32 -0.45 -0.52 -0.42 -0.24 -0.04  0.18
1959  0.18  0.10 -0.03 -0.14 -0.18 -0.21 -0.09  0.05  0.03 -0.06 -0.20 -0.25
1960 -0.17 -0.12 -0.18 -0.37 -0.36 -0.25 -0.20 -0.26 -0.36 -0.41 -0.48 -0.42
1961 -0.28 -0.09 -0.02 -0.03  0.05  0.38  0.79  1.05  1.17  1.04  0.79  0.49
1962  0.43  0.37  0.30  0.15  0.07 -0.03 -0.03  0.02  0.05  0.06  0.06  0.13
1963  0.17  0.18  0.14  0.01  0.02  0.17  0.46  0.56  0.71  0.69  0.59  0.16
1964 -0.26 -0.35 -0.26 -0.06  0.00 -0.09 -0.19 -0.44 -0.52 -0.39 -0.14  0.07
1965  0.02  0.06  0.04  0.12  0.04  0.01  0.02  0.04  0.16  0.14  0.06 -0.05
1966 -0.11 -0.12 -0.15 -0.13  0.10  0.26  0.42  0.36  0.16 -0.07 -0.18 -0.24
1967 -0.22 -0.12  0.02  0.26  0.37  0.59  0.58  0.65  0.69  0.70  0.53  0.35
1968  0.33  0.21  0.15  0.15  0.32  0.33  0.15 -0.12 -0.16 -0.15 -0.02 -0.11
1969 -0.20 -0.25 -0.10  0.11  0.12 -0.01 -0.25 -0.23 -0.04  0.22  0.31  0.30
1970  0.26  0.21  0.23  0.32  0.27  0.16 -0.05 -0.12 -0.25 -0.22 -0.12  0.00
1971  0.00  0.08  0.19  0.26  0.24  0.15 -0.07 -0.22 -0.39 -0.20 -0.01  0.22
1972  0.11  0.04 -0.01  0.21  0.50  0.74  0.84  0.85  0.84  0.87  0.65  0.46
1973  0.16  0.04 -0.09  0.01  0.03  0.02 -0.23 -0.40 -0.43 -0.33 -0.22 -0.10
1974  0.06  0.22  0.18  0.10  0.10  0.16  0.05 -0.23 -0.46 -0.41 -0.34 -0.31
1975 -0.32 -0.42 -0.32 -0.27 -0.01  0.15  0.07 -0.24 -0.60 -0.67 -0.48 -0.19
1976  0.02  0.10  0.08  0.09  0.20  0.44  0.45  0.37  0.18  0.06  0.03 -0.02
1977 -0.02  0.02  0.00 -0.05 -0.16 -0.09  0.02  0.10  0.29  0.33  0.25 -0.17
1978 -0.36 -0.48 -0.32 -0.29 -0.13 -0.03  0.04  0.11  0.04 -0.04 -0.22 -0.14
1979 -0.11 -0.06 -0.14 -0.03  0.09  0.07  0.00 -0.11 -0.24 -0.41 -0.36 -0.25
1980 -0.10 -0.21 -0.08  0.05 -0.02 -0.27 -0.46 -0.40 -0.26 -0.22 -0.16 -0.14
1981 -0.05 -0.04  0.06  0.07  0.00 -0.23 -0.38 -0.39 -0.32 -0.26 -0.19 -0.05
1982  0.06  0.20  0.19  0.23  0.23  0.29  0.37  0.52  0.74  0.74  0.48  0.05
1983 -0.29 -0.51 -0.66 -0.57 -0.24  0.15  0.37  0.34  0.20  0.04 -0.02 -0.07
1984 -0.07 -0.02  0.07 -0.10 -0.37 -0.64 -0.64 -0.55 -0.52 -0.51 -0.44 -0.37
1985 -0.35 -0.36 -0.34 -0.28 -0.53 -0.72 -0.77 -0.50 -0.28 -0.18 -0.23 -0.20
1986 -0.06  0.18  0.22  0.17  0.00 -0.19 -0.26 -0.20  0.09  0.17  0.04 -0.10
1987 -0.21 -0.21 -0.31 -0.25 -0.25 -0.18 -0.07  0.18  0.38  0.27  0.21  0.28
1988  0.38  0.35  0.21 -0.12 -0.29 -0.38 -0.15 -0.12 -0.21 -0.28 -0.12 -0.10
1989 -0.07 -0.18 -0.12 -0.27 -0.44 -0.44 -0.43 -0.31 -0.39 -0.35 -0.30  0.00
1990  0.17  0.28  0.11 -0.06 -0.19 -0.24 -0.23 -0.26 -0.31 -0.29 -0.20 -0.02
1991  0.15  0.26  0.43  0.54  0.48  0.23  0.07  0.20  0.34  0.39  0.29  0.02
1992 -0.23 -0.46 -0.49 -0.48 -0.48 -0.45 -0.42 -0.44 -0.41 -0.24  0.05  0.25
1993  0.29  0.22  0.16  0.17  0.28  0.27  0.12 -0.08 -0.08 -0.05  0.02  0.09
1994  0.02  0.15  0.22  0.44  0.46  0.60  0.89  1.14  1.30  0.92  0.52  0.12
1995  0.30  0.46  0.40  0.02 -0.17 -0.34 -0.42 -0.51 -0.41 -0.29 -0.12  0.13
1996  0.33  0.25  0.00 -0.18 -0.28 -0.33 -0.45 -0.51 -0.66 -0.65 -0.54 -0.21
1997  0.09  0.29  0.32  0.26  0.29  0.50  0.73  0.93  1.15  1.43  1.42  1.15
1998  0.73  0.40  0.20  0.13  0.12 -0.09 -0.33 -0.53 -0.60 -0.54 -0.45 -0.31
1999 -0.21 -0.05  0.07 -0.04 -0.16 -0.08  0.12  0.16 -0.08 -0.23 -0.21 -0.06
2000  0.16  0.34  0.42  0.34  0.17  0.19  0.27  0.28  0.14  0.06  0.07  0.18
2001  0.24  0.34  0.30  0.18  0.08 -0.05 -0.13 -0.25 -0.30 -0.17 -0.10 -0.05
2002 -0.18 -0.23 -0.24 -0.26 -0.19 -0.17 -0.14  0.06  0.28  0.36  0.04 -0.28
2003 -0.34 -0.18  0.02  0.18  0.36  0.53  0.57  0.35  0.08 -0.10 -0.07 -0.09
2004 -0.16 -0.19 -0.14 -0.17 -0.27 -0.28 -0.15  0.01  0.11  0.09 -0.04 -0.22
2005 -0.54 -0.78 -0.70 -0.29  0.03 -0.03 -0.19 -0.43 -0.47 -0.45 -0.30 -0.11
2006 -0.14 -0.06 -0.01  0.14  0.21  0.18  0.25  0.29  0.54  0.69  0.65  0.41
2007  0.14  0.13  0.15  0.32  0.38  0.46  0.49  0.51  0.46  0.27  0.07 -0.10
2008 -0.22 -0.17 -0.21 -0.04  0.06  0.28  0.26  0.14  0.07  0.07  0.12  0.09
2009  0.19  0.30  0.37  0.32  0.24  0.08 -0.06 -0.18 -0.10 -0.09  0.05  0.13
2010  0.11  0.08  0.09  0.03 -0.08 -0.25 -0.27 -0.51 -0.78 -0.73 -0.51 -0.14
2011 -0.06  0.05  0.04  0.00 -0.03 -0.02  0.13  0.29  0.47  0.40  0.22  0.07
2012 -0.02 -0.03 -0.19 -0.17 -0.10  0.31  0.64  0.83  0.64  0.39  0.19  0.03
2013 -0.10 -0.25 -0.30 -0.29 -0.32 -0.31 -0.36 -0.36 -0.29 -0.06  0.03  0.07
2014 -0.10 -0.26 -0.31 -0.24 -0.10 -0.16 -0.39 -0.43 -0.32 -0.09 -0.03 -0.12
2015 -0.18 -0.25 -0.09  0.16  0.36  0.28  0.29  0.54  0.82  0.75  0.40 -0.07
2016 -0.26 -0.27 -0.13 -0.23 -0.48 -0.87 -1.01 -1.16 -0.99 -0.80 -0.30  0.06
2017  0.36  0.36  0.45  0.42  0.52  0.55  0.69  0.58  0.40  0.13 -0.05 -0.08
2018  0.08  0.12  0.13  0.05  0.07  0.09  0.09  0.41  0.52  0.55  0.52  0.46
2019  0.21 -0.05 -0.17  0.24  0.64  0.95  0.94  0.97  1.33  1.52  1.34  0.80
2020  0.35  0.07 -0.14 -0.12  0.04  0.19 -0.10 -0.51 -0.66 -0.60 -0.33 -0.32
2021 -0.14 -0.10  0.09 -0.12 -0.40 -0.73 -0.78 -0.77 -0.82 -0.76 -0.61 -0.45
2022 -0.46 -0.39 -0.38 -0.36 -0.54 -0.85 -1.11 -1.32 -1.33 -1.00 -0.54  0.04
2023  0.27  0.48  0.38  0.18 -0.05  0.02  0.43  0.88  1.38  1.56  1.49  1.11
2024  0.62  0.36  0.18  0.20  0.00 -0.14 -0.15 -0.09 -0.31 -0.61 -0.80 -0.65
2025 -0.23  0.01  0.18 -0.06 -0.24 -0.31 -0.68 -0.99 -1.54 -1.42 -1.08 -0.43
2026  0.12  0.17  0.10 -0.36 -0.44 -0.25 99.90 99.90 99.90 99.90 99.90 99.90
