latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.486819,112.53821,28.0,25200,Asia/Jakarta,GMT+7

time,cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),surface_pressure (hPa),temperature_2m (°C),precipitation (mm),rain (mm),relative_humidity_2m (%),dew_point_2m (°C),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),et0_fao_evapotranspiration (mm),weather_code (wmo code),apparent_temperature (°C),vapour_pressure_deficit (kPa),total_column_integrated_water_vapour (kg/m²),sunshine_duration (s),shortwave_radiation (W/m²)
2015-01-01T00:00,100,0,90,99,1006.2,23.5,3.20,3.20,99,23.4,5.4,11.4,228,235,13.7,25.2,26.6,27.1,27.8,0.407,0.409,0.404,0.368,0.00,53,28.5,0.02,57.10,0.00,0.0
2015-01-01T06:00,100,0,13,100,1005.4,23.1,0.60,0.60,100,23.1,5.7,9.7,215,231,14.0,24.7,26.0,27.1,27.8,0.402,0.407,0.404,0.368,0.00,51,27.8,0.01,52.00,0.00,3.5
2015-01-01T12:00,100,13,30,100,1004.5,26.7,3.90,3.90,87,24.4,8.8,12.0,258,254,22.7,27.1,26.5,27.1,27.8,0.410,0.406,0.404,0.369,1.27,53,31.8,0.45,53.20,4460.64,297.8
2015-01-01T18:00,100,9,98,100,1005.6,25.5,8.60,8.60,97,25.0,8.0,15.7,278,281,22.7,26.4,26.9,27.1,27.8,0.416,0.412,0.406,0.369,1.02,61,31.1,0.10,59.40,20760.20,264.8
2015-01-02T00:00,100,13,98,100,1006.7,24.0,6.40,6.40,99,23.9,9.6,18.4,257,264,20.5,25.4,26.5,27.1,27.8,0.407,0.412,0.409,0.370,0.00,55,28.6,0.02,55.10,0.00,0.0
2015-01-02T06:00,100,5,33,100,1006.6,23.5,2.30,2.30,100,23.5,7.7,15.3,259,255,22.0,24.9,26.0,27.0,27.8,0.412,0.410,0.408,0.372,0.06,51,28.2,0.01,53.70,0.00,0.8
2015-01-02T12:00,100,15,79,98,1006.1,27.0,5.30,5.30,89,24.9,11.3,15.9,279,275,29.9,26.7,26.1,27.0,27.8,0.407,0.410,0.409,0.373,1.00,53,32.0,0.41,56.00,0.00,226.2
2015-01-02T18:00,100,30,100,98,1006.0,25.7,6.00,6.00,92,24.3,8.9,16.9,284,281,28.1,26.3,26.4,27.0,27.8,0.407,0.410,0.409,0.373,0.95,55,30.6,0.26,60.60,4024.01,232.3
2015-01-03T00:00,100,23,65,100,1006.5,24.2,0.00,0.00,96,23.4,9.8,18.5,264,262,21.6,25.1,26.1,27.0,27.8,0.399,0.406,0.408,0.374,0.02,3,28.5,0.13,58.00,0.00,0.0
2015-01-03T06:00,100,21,60,100,1006.7,23.4,3.70,3.70,99,23.3,9.3,17.9,254,251,23.8,24.7,25.8,26.9,27.8,0.410,0.409,0.407,0.375,0.05,53,27.6,0.02,52.70,0.00,1.0
2015-01-03T12:00,100,11,14,100,1006.8,26.8,3.70,3.70,88,24.7,13.3,19.1,272,269,32.8,26.4,25.9,26.9,27.8,0.407,0.409,0.408,0.376,0.92,53,31.4,0.42,52.60,0.00,202.7
2015-01-03T18:00,100,1,66,100,1005.2,24.0,6.40,6.40,99,23.8,9.2,18.8,259,253,20.9,25.5,26.1,26.9,27.8,0.407,0.408,0.409,0.376,0.83,55,28.6,0.03,51.60,12845.73,227.5
2015-01-04T00:00,98,3,26,98,1006.3,23.2,0.30,0.30,97,22.7,7.6,15.9,251,245,20.9,24.5,25.7,26.9,27.8,0.399,0.405,0.408,0.377,0.00,51,27.3,0.08,48.70,0.00,0.0
2015-01-04T06:00,99,1,33,99,1006.1,23.2,0.10,0.10,96,22.6,6.8,13.5,238,241,18.7,24.1,25.3,26.8,27.8,0.395,0.401,0.407,0.378,0.00,51,27.4,0.10,44.60,0.00,3.7
2015-01-04T12:00,95,18,19,85,1005.5,30.8,0.00,0.00,68,24.2,9.1,11.9,279,273,29.2,29.7,26.4,26.8,27.8,0.386,0.394,0.405,0.379,2.78,3,36.0,1.42,50.10,21600.00,617.5
2015-01-04T18:00,92,23,55,87,1006.0,25.7,5.50,5.50,95,24.8,6.0,11.9,303,295,20.9,27.0,27.2,26.8,27.8,0.407,0.404,0.404,0.379,1.60,53,31.4,0.17,54.00,20830.64,414.8
2015-01-05T00:00,98,21,34,98,1006.4,23.7,1.10,1.10,100,23.7,5.8,11.4,240,246,15.8,25.4,26.7,26.8,27.8,0.402,0.402,0.404,0.379,0.00,51,28.8,0.01,52.00,0.00,0.0
2015-01-05T06:00,100,0,7,100,1005.8,22.9,0.60,0.60,100,22.8,6.1,11.2,230,230,14.0,24.6,26.1,26.8,27.8,0.399,0.401,0.404,0.380,0.04,51,27.3,0.01,48.90,0.00,1.3
2015-01-05T12:00,50,13,38,28,1005.0,29.9,0.80,0.80,66,22.9,7.6,10.1,275,268,25.6,29.2,26.7,26.8,27.8,0.393,0.398,0.403,0.380,1.93,51,34.2,1.42,51.70,21600.00,402.0
2015-01-05T18:00,81,12,39,75,1005.1,25.9,3.00,3.00,90,24.1,1.6,3.9,27,338,14.0,27.0,27.3,26.8,27.7,0.406,0.404,0.403,0.381,1.46,53,31.8,0.35,53.90,20853.40,351.7
2015-01-06T00:00,97,52,37,95,1006.2,22.8,0.50,0.50,100,22.8,6.0,10.9,237,261,14.4,25.0,26.6,26.9,27.7,0.398,0.401,0.403,0.381,0.00,51,27.3,0.01,44.00,0.00,0.0
2015-01-06T06:00,96,9,4,94,1005.3,23.2,0.00,0.00,95,22.3,7.8,14.3,214,221,19.4,24.5,26.0,26.8,27.7,0.393,0.398,0.403,0.381,0.00,3,27.2,0.15,37.60,0.00,3.7
2015-01-06T12:00,60,5,24,49,1004.7,31.3,0.00,0.00,57,21.8,9.0,12.4,254,248,26.6,30.1,26.8,26.8,27.7,0.383,0.392,0.401,0.382,2.86,2,35.1,1.95,41.70,21600.00,610.2
2015-01-06T18:00,80,5,16,77,1004.7,27.8,0.00,0.00,79,23.9,7.4,15.0,309,305,18.4,28.4,27.8,26.9,27.7,0.377,0.385,0.399,0.382,1.98,3,32.8,0.77,44.40,20875.71,476.2
2015-01-07T00:00,100,4,0,100,1004.9,24.2,0.00,0.00,92,22.9,5.6,12.2,230,236,13.7,25.7,27.3,26.9,27.7,0.376,0.383,0.398,0.382,0.02,3,28.8,0.23,37.10,0.00,0.0
2015-01-07T06:00,92,4,5,91,1005.7,23.4,0.00,0.00,88,21.2,8.2,15.1,218,230,18.7,24.2,26.4,26.9,27.7,0.375,0.382,0.397,0.383,0.03,3,26.7,0.35,37.10,0.00,4.2
