latitude,longitude,elevation,utc_offset_seconds,timezone,timezone_abbreviation
-7.5571175,112.55735,28.0,25200,Asia/Jakarta,GMT+7

time,temperature_2m (°C),relative_humidity_2m (%),dew_point_2m (°C),apparent_temperature (°C),precipitation (mm),rain (mm),weather_code (wmo code),surface_pressure (hPa),cloud_cover (%),cloud_cover_low (%),cloud_cover_mid (%),cloud_cover_high (%),et0_fao_evapotranspiration (mm),vapour_pressure_deficit (kPa),wind_speed_10m (km/h),wind_speed_100m (km/h),wind_direction_10m (°),wind_direction_100m (°),wind_gusts_10m (km/h),soil_temperature_0_to_7cm (°C),soil_temperature_7_to_28cm (°C),soil_temperature_28_to_100cm (°C),soil_temperature_100_to_255cm (°C),soil_moisture_0_to_7cm (m³/m³),soil_moisture_7_to_28cm (m³/m³),soil_moisture_28_to_100cm (m³/m³),soil_moisture_100_to_255cm (m³/m³),total_column_integrated_water_vapour (kg/m²),sunshine_duration (s),shortwave_radiation (W/m²)
1995-01-01T00:00,24.5,99,24.4,30.4,0.80,0.80,51,1008.1,98,83,23,96,0.00,0.02,2.9,5.8,240,266,10.4,26.0,27.1,27.3,27.6,0.396,0.389,0.338,0.283,50.50,0.00,0.0
1995-01-01T06:00,23.8,97,23.4,28.8,0.00,0.00,2,1007.1,74,30,6,62,0.00,0.08,4.7,8.9,212,227,9.4,25.1,26.5,27.3,27.6,0.387,0.387,0.340,0.283,46.10,0.00,4.2
1995-01-01T12:00,27.3,79,23.3,32.0,6.50,6.50,55,1007.4,88,45,49,72,2.02,0.77,6.1,7.6,3,3,21.6,28.6,27.1,27.3,27.6,0.417,0.384,0.341,0.283,49.30,21600.00,474.5
1995-01-01T18:00,25.4,91,23.8,31.2,2.80,2.80,51,1007.2,98,32,33,93,1.12,0.29,0.7,1.4,180,90,10.1,26.9,27.4,27.3,27.6,0.402,0.391,0.342,0.283,52.10,18946.57,261.5
1995-01-02T00:00,24.2,100,24.2,30.2,2.10,2.10,51,1008.5,70,45,21,39,0.00,0.01,1.1,0.4,198,90,6.8,25.7,26.9,27.3,27.6,0.400,0.394,0.344,0.283,51.50,0.00,0.0
1995-01-02T06:00,23.3,100,23.2,28.4,0.00,0.00,2,1007.3,73,36,20,48,0.00,0.01,3.1,3.4,201,198,9.0,24.9,26.3,27.3,27.6,0.389,0.391,0.346,0.284,52.30,0.00,3.8
1995-01-02T12:00,27.3,83,24.2,32.9,11.10,11.10,61,1007.6,92,17,15,89,2.17,0.61,3.5,4.5,24,29,20.2,28.6,27.1,27.2,27.6,0.422,0.388,0.347,0.284,52.90,21600.00,510.8
1995-01-02T18:00,25.3,96,24.7,31.5,5.10,5.10,53,1006.0,100,49,15,98,1.04,0.12,2.1,2.5,239,278,7.2,26.7,27.3,27.3,27.6,0.405,0.403,0.349,0.284,54.30,8810.09,247.5
1995-01-03T00:00,23.8,100,23.7,29.3,0.70,0.70,51,1007.4,100,100,9,99,0.00,0.01,2.6,4.2,286,290,10.1,25.5,26.8,27.3,27.6,0.398,0.398,0.352,0.284,54.30,0.00,0.0
1995-01-03T06:00,23.7,98,23.4,28.7,0.00,0.00,3,1006.6,99,20,1,98,0.00,0.05,4.9,7.2,197,207,10.4,25.1,26.3,27.2,27.6,0.389,0.393,0.354,0.284,51.60,0.00,3.5
