#year, month, day,    RMM1,    RMM2, phase,    lon,     amp,  amp**2
 1992,     1,   1,  0.8222,  0.1671,     5,  146.5,  0.8390,  0.7040
 1992,     1,   2,  0.6066,  0.1421,     5,  148.2,  0.6230,  0.3881
 1992,     1,   3,  0.3174,  0.2291,     5,  170.8,  0.3915,  0.1532
 1992,     1,   4,  0.3591,  0.5293,     6,  190.8,  0.6396,  0.4091
 1992,     1,   5,  0.5339,  0.8219,     6,  192.0,  0.9801,  0.9606
 1992,     1,   6,  0.5476,  0.8762,     6,  193.0,  1.0332,  1.0675
 1992,     1,   7,  0.3281,  0.9687,     6,  206.3,  1.0228,  1.0461
 1992,     1,   8,  0.0716,  1.1962,     6,  221.6,  1.1983,  1.4360
 1992,     1,   9, -0.2582,  1.4744,     7,  234.9,  1.4968,  2.2405
 1992,     1,  10, -0.6350,  1.5159,     7,  247.7,  1.6435,  2.7011
 1992,     1,  11, -0.9694,  1.3443,     7,  260.8,  1.6574,  2.7471
 1992,     1,  12, -1.3670,  1.3335,     8,  270.7,  1.9097,  3.6469
 1992,     1,  13, -1.8007,  1.0665,     8,  284.4,  2.0928,  4.3799
 1992,     1,  14, -1.7924,  0.6100,     8,  296.2,  1.8933,  3.5848
 1992,     1,  15, -1.9810,  0.4447,     8,  302.3,  2.0303,  4.1221
 1992,     1,  16, -2.0634,  0.3546,     8,  305.2,  2.0937,  4.3836
 1992,     1,  17, -1.8067,  0.2033,     8,  308.6,  1.8182,  3.3057
 1992,     1,  18, -1.7151, -0.1714,     1,  320.7,  1.7237,  2.9711
 1992,     1,  19, -1.7264, -0.4100,     1,  328.4,  1.7744,  3.1486
 1992,     1,  20, -1.5950, -0.5395,     1,  333.7,  1.6838,  2.8352
 1992,     1,  21, -1.2827, -0.6232,     1,  340.9,  1.4261,  2.0336
 1992,     1,  22, -1.1862, -0.5320,     1,  339.2,  1.3000,  1.6901
 1992,     1,  23, -1.3098, -0.4244,     1,  333.0,  1.3769,  1.8958
 1992,     1,  24, -1.4855, -0.6526,     1,  338.7,  1.6225,  2.6326
 1992,     1,  25, -1.6913, -0.7381,     1,  338.6,  1.8453,  3.4051
 1992,     1,  26, -1.7801, -1.0048,     1,  344.4,  2.0441,  4.1784
 1992,     1,  27, -1.7130, -1.1937,     1,  349.9,  2.0879,  4.3592
 1992,     1,  28, -1.3896, -1.4238,     2,    0.7,  1.9895,  3.9580
 1992,     1,  29, -1.0792, -1.4713,     2,    8.7,  1.8247,  3.3294
 1992,     1,  30, -0.6005, -1.3793,     2,   21.5,  1.5044,  2.2632
 1992,     1,  31, -0.3377, -1.3330,     2,   30.8,  1.3752,  1.8910
 1992,     2,   1, -0.3101, -1.2257,     2,   30.8,  1.2643,  1.5985
 1992,     2,   2, -0.3979, -1.3470,     2,   28.5,  1.4046,  1.9729
 1992,     2,   3, -0.2958, -1.4245,     2,   33.3,  1.4549,  2.1168
 1992,     2,   4, -0.1613, -1.4292,     2,   38.6,  1.4382,  2.0685
 1992,     2,   5, -0.1643, -1.2355,     2,   37.4,  1.2464,  1.5535
 1992,     2,   6,  0.1208, -1.1103,     3,   51.2,  1.1168,  1.2473
 1992,     2,   7,  0.4867, -0.9582,     3,   71.9,  1.0748,  1.1551
 1992,     2,   8,  0.4359, -0.9523,     3,   69.6,  1.0474,  1.0970
 1992,     2,   9,  0.2090, -1.1080,     3,   55.7,  1.1275,  1.2713
 1992,     2,  10,  0.1040, -0.9111,     3,   51.5,  0.9170,  0.8409
